name,subject,number,avg_gpa,percent_4s,num_students
Advanced Digital Projects Lab,ECE,395,3.6645559845559847,0.61003861003861,259.0
Honors Project,ECE,396,,,
Individual Study in ECE,ECE,397,,,
Electronic Music Synthesis,ECE,402,3.503742550655542,0.5113230035756854,839.0
Audio Engineering,ECE,403,3.736551724137931,0.5517241379310345,29.0
Cryptography,ECE,407,3.642727272727273,0.6,55.0
Applied Parallel Programming,ECE,408,3.151880180859081,0.26186887716654106,2654.0
Computer Organization & Design,ECE,411,2.980047888550283,0.2242054854157597,2297.0
Biomedical Instrumentation,ECE,414,,,
Biomedical Instrumentation Lab,ECE,415,,,
Biosensors,ECE,416,3.302724550898204,0.38922155688622756,334.0
Embedded DSP Laboratory,ECE,420,3.616877022653721,0.529126213592233,618.0
Neural Interface Engineering,ECE,421,3.525151515151515,0.5454545454545454,33.0
Computer Security I,ECE,422,,,
Computer Security II,ECE,424,,,
Intro to VLSI System Design,ECE,425,3.1015044247787604,0.30678466076696165,339.0
Distributed Systems,ECE,428,,,
Electric Machinery,ECE,431,3.1731973898858077,0.27569331158238175,613.0
Real World Algorithms for IoT and Data Science,ECE,434,3.578615384615385,0.37948717948717947,195.0
Communication Networks,ECE,438,3.5703000000000005,0.47,100.0
LEDs and Solar Cells,ECE,443,3.492173913043478,0.34782608695652173,23.0
IC Device Theory & Fabrication,ECE,444,3.345446175637394,0.4206798866855524,1412.0
Senior Design Project Lab,ECE,445,3.16014742014742,0.294021294021294,3663.0
Active Microwave Ckt Design,ECE,447,3.6280392156862753,0.47058823529411764,51.0
Artificial Intelligence,ECE,448,,,
Machine Learning,ECE,449,,,
Adv Microwave Measurements,ECE,451,3.679624060150376,0.5714285714285714,133.0
Optical Imaging,ECE,460,3.8095238095238093,0.8095238095238095,21.0
Digital Communications,ECE,461,3.2313043478260868,0.391304347826087,23.0
Logic Synthesis,ECE,462,3.200352112676056,0.24647887323943662,568.0
Optical Communications Systems,ECE,465,,,
Optical Communications Lab,ECE,466,,,
Biophotonics,ECE,467,,,
Introduction to Robotics,ECE,470,3.262782060266292,0.4043447792571829,1427.0
Formal Software Development Methods,ECE,478,,,
IoT and Cognitive Computing,ECE,479,3.425531914893617,0.2978723404255319,47.0
Nanotechnology,ECE,481,3.612465277777778,0.6840277777777778,288.0
Analog IC Design,ECE,483,3.2824577861163227,0.31144465290806755,533.0
Principles of Safe Autonomy,ECE,484,3.6341549295774653,0.4507042253521127,142.0
Control Systems,ECE,486,3.383441138421734,0.43014230271668824,1546.0
Robot Dynamics and Control,ECE,489,,,
Introduction to Optimization,ECE,490,3.5171166448230675,0.5176933158584535,763.0
Numerical Analysis,ECE,491,,,
Senior Research Project,ECE,496,,,
Senior Thesis,ECE,499,,,
Interdisciplinary Design Proj,ENG,491,3.6751497005988023,0.5868263473053892,167.0
Physical Geology,GEOL,107,3.2465830115830117,0.3687258687258687,518.0
History of the Earth System,GEOL,208,3.0557847533632283,0.16591928251121077,223.0
Earth Materials and the Env,GEOL,333,,,
Mineralogy and Mineral Optics,GEOL,432,2.5853921568627456,0.0784313725490196,102.0
Sedimentology and Stratigraphy,GEOL,440,3.221943573667712,0.2664576802507837,319.0
Investigating the Earth’s Interior,GEOL,450,,,
Geochemistry,GEOL,460,,,
Deterministic Models in Optimization,IE,310,3.2235483870967743,0.34838709677419355,2015.0
Industrial Quality Control,IE,330,3.0588446969696967,0.2727272727272727,528.0
Production Planning & Control,IE,361,3.4379972936400534,0.29499323410013534,739.0
Simulation,IE,413,2.8434083601286178,0.23633440514469453,622.0
Financial Engineering,IE,420,3.188003246753247,0.26136363636363635,616.0
Organismal & Evolutionary Biol,IB,150,3.1026823587103105,0.3108986146867721,8157.0
Physiology,IB,202,3.2874688612099643,0.49955516014234874,2248.0
Evolution,IB,302,3.0483324911571503,0.20111167256189996,1979.0
Evolution of Traits and Genomes,IB,405,3.627090909090909,0.5909090909090909,110.0
Plant Physiology,IB,420,3.508732782369146,0.5179063360881543,363.0
Genes and Behavior,IB,432,3.766305309734513,0.8097345132743363,452.0
Conservation Biology,IB,451,3.5847026022304833,0.4851301115241636,538.0
Ornithology,IB,461,3.3581659388646283,0.462882096069869,229.0
Herpetology,IB,464,3.060277777777778,0.3194444444444444,72.0
Introduction to Computational Linguistics,LING,406,3.6092506459948326,0.6821705426356589,387.0
Language and the Brain,LING,427,,,
Engineering Materials,MSE,280,3.1006723283793347,0.2597310686482661,2826.0
Introduction to Higher Mathematics,MATH,314,,,
Fundamental Mathematics,MATH,347,3.122020352444776,0.3320923306031273,4029.0
Numerical Methods I,MATH,357,,,
Non Euclidean Geometry,MATH,402,3.2133828996282525,0.3159851301115242,538.0
Euclidean Geometry,MATH,403,3.1675943396226414,0.3419811320754717,424.0
Graph Theory,MATH,412,3.081168831168831,0.313543599257885,1078.0
Intro to Combinatorics,MATH,413,3.113562691131498,0.3830275229357798,1308.0
Applied Linear Algebra,MATH,415,2.976332243223768,0.24549636938085473,18041.0
Abstract Linear Algebra,MATH,416,3.021446748350612,0.3383600377002828,2122.0
Intro to Abstract Algebra,MATH,417,2.9414928909952613,0.2677725118483412,1266.0
Intro to Abstract Algebra II,MATH,418,3.5332857142857144,0.6285714285714286,70.0
Honors Real Analysis,MATH,424,3.575056179775281,0.5280898876404494,178.0
Honors Advanced Analysis,MATH,425,,,
Honors Abstract Algebra,MATH,427,3.558488372093023,0.5465116279069767,172.0
Set Theory and Topology,MATH,432,3.007291666666667,0.3333333333333333,48.0
Intro Partial Diff Equations,MATH,442,3.047526223776224,0.36975524475524474,1144.0
Elementary Real Analysis,MATH,444,3.1757579729139365,0.39930100480559194,2289.0
Applied Complex Variables,MATH,446,2.9283980967486127,0.3013481363996828,1261.0
Real Variables,MATH,447,3.227757475083057,0.36212624584717606,602.0
Complex Variables,MATH,448,3.2519387755102045,0.39285714285714285,196.0
Numerical Analysis,MATH,450,,,
Number Theory,MATH,453,3.272882748319641,0.4630321135175504,1339.0
Algorithms,MATH,473,,,
Vector and Tensor Analysis,MATH,481,2.983043478260869,0.3391304347826087,115.0
Linear Programming,MATH,482,3.193153846153846,0.4169230769230769,650.0
Nonlinear Programming,MATH,484,3.3218739352640543,0.43611584327086883,587.0
Molec & Cellular Basis of Life,MCB,150,2.991530996796684,0.19700395703787452,10614.0
Molecular Genetics,MCB,250,2.6027186761229317,0.1457840819542947,2538.0
Exp Techniqs in Molecular Biol,MCB,251,3.469985320023488,0.4057545507927187,3406.0
"Cells, Tissues & Development",MCB,252,3.2608521057786484,0.3401077375122429,4084.0
Exp Techniqs in Cellular Biol,MCB,253,3.6133142410830517,0.511585524602968,3841.0
Microbiology,MCB,300,3.129929187192119,0.2105911330049261,3248.0
Experimental Microbiology,MCB,301,3.195225705329154,0.15579937304075236,3190.0
Biochem & Phys Basis of Life,MCB,354,2.8383294392523366,0.1875,1712.0
Gene Expression & Regulation,MCB,406,3.468547619047619,0.430952380952381,420.0
"Developmental Biology, Stem Cells and Regenerative Medicine",MCB,410,3.437994505494505,0.3324175824175824,364.0
Microbial Biochemistry,MCB,424,3.6065020576131688,0.48559670781893005,243.0
Molecular Microbiology,MCB,430,,,
Evolution of Infectious Disease,MCB,435,3.5062962962962962,0.41975308641975306,324.0
Physical Biochemistry,MCB,446,,,
Eukaryotic Cell Signaling,MCB,480,3.5768098159509196,0.5552147239263804,326.0
Thermodynamics,ME,200,3.3769693251533743,0.3411042944785276,2445.0
Fundamentals of Fluid Dynamics,ME,310,3.0377156495056252,0.21991135356290487,2933.0
Heat Transfer,ME,320,3.017257336343115,0.21369450714823177,2658.0
Engineering Materials,ME,330,3.3649424083769635,0.3149214659685864,3820.0
Dynamics of Mechanical Systems,ME,340,3.2539015429831,0.34423218221895663,2722.0
Mechanical Design I,ME,370,3.4342543118025026,0.35745688197497466,2957.0
Mechanical Design II,ME,371,3.6060219378427787,0.45813528336380255,2735.0
Energy Conversion Systems,ME,400,3.4186312849162013,0.329608938547486,716.0
Intermediate Thermodynamics,ME,404,3.3820809248554915,0.44508670520231214,173.0
Intermediate Gas Dynamics,ME,410,3.1597142857142853,0.32857142857142857,140.0
Numerical Thermo-Fluid Mechs,ME,412,3.513793103448276,0.5134099616858238,261.0
Introduction to Robotics,ME,445,,,
Num Control of Mfg Processes,ME,452,3.4642465753424663,0.502283105022831,219.0
Industrial Control Systems,ME,460,3.522086956521739,0.4782608695652174,230.0
Finite Element Analysis,ME,471,3.1915727002967356,0.3590504451038576,1348.0
MEMS-NEMS Theory & Fabrication,ME,487,3.4243402225755166,0.32591414944356123,629.0
Elec Music Techniques II,MUS,409,,,
